,Sex,Age,Height,Weight,Season,Sport,Medal
119,M,25.0,182.0,73.0,Winter,Cross Country Skiing,
120,M,25.0,182.0,73.0,Winter,Cross Country Skiing,
121,M,29.0,182.0,73.0,Winter,Cross Country Skiing,
122,M,29.0,182.0,73.0,Winter,Cross Country Skiing,
123,M,29.0,182.0,73.0,Winter,Cross Country Skiing,
124,M,41.0,,,Summer,Shooting,
125,M,33.0,194.0,93.0,Summer,Shooting,
126,M,45.0,194.0,93.0,Summer,Shooting,
127,M,49.0,194.0,93.0,Summer,Shooting,
128,M,53.0,194.0,93.0,Summer,Shooting,
129,M,57.0,194.0,93.0,Summer,Shooting,
130,M,22.0,177.0,74.0,Summer,Athletics,
131,M,22.0,177.0,74.0,Summer,Athletics,
132,M,26.0,177.0,74.0,Summer,Athletics,
133,M,30.0,177.0,74.0,Summer,Athletics,
134,M,24.0,,64.0,Summer,Boxing,
135,F,24.0,168.0,65.0,Summer,Athletics,
136,F,28.0,168.0,65.0,Summer,Athletics,
137,M,22.0,185.0,106.0,Summer,Wrestling,
138,M,26.0,185.0,106.0,Summer,Wrestling,
139,M,23.0,167.0,64.0,Summer,Gymnastics,
140,M,23.0,167.0,64.0,Summer,Gymnastics,
141,M,23.0,167.0,64.0,Summer,Gymnastics,
142,M,23.0,167.0,64.0,Summer,Gymnastics,
143,M,23.0,167.0,64.0,Summer,Gymnastics,
144,M,23.0,167.0,64.0,Summer,Gymnastics,
145,M,22.0,189.0,80.0,Summer,Athletics,
146,M,24.0,172.0,58.0,Summer,Taekwondo,
147,M,,,,Summer,Boxing,
148,M,26.0,170.0,65.0,Summer,Athletics,
149,M,21.0,,,Summer,Cycling,
150,M,21.0,,,Summer,Cycling,3.0
151,M,24.0,176.0,66.0,Summer,Boxing,
152,M,,,,Summer,Cycling,
153,M,,,,Summer,Cycling,
154,M,24.0,164.0,71.0,Summer,Weightlifting,
155,M,28.0,164.0,71.0,Summer,Weightlifting,
156,M,24.0,172.0,75.0,Summer,Weightlifting,
157,M,26.0,175.0,72.0,Summer,Football,
158,M,21.0,198.0,90.0,Summer,Rowing,1.0
159,M,30.0,194.0,87.0,Summer,Fencing,1.0
160,M,31.0,,,Summer,Judo,
161,F,21.0,165.0,49.0,Summer,Taekwondo,1.0
162,M,,156.0,48.0,Summer,Boxing,
163,F,22.0,179.0,80.0,Summer,Athletics,2.0
164,F,26.0,179.0,80.0,Summer,Athletics,
165,M,23.0,178.0,76.0,Summer,Swimming,
166,M,23.0,178.0,76.0,Summer,Swimming,
167,F,19.0,185.0,72.0,Summer,Basketball,
168,M,26.0,167.0,65.0,Summer,Diving,
169,M,27.0,172.0,82.0,Summer,Canoeing,
170,M,27.0,172.0,82.0,Summer,Canoeing,
171,M,24.0,180.0,83.0,Summer,Canoeing,
172,M,28.0,180.0,83.0,Summer,Canoeing,3.0
173,M,23.0,182.0,86.0,Summer,Handball,3.0
174,M,27.0,182.0,86.0,Summer,Handball,3.0
175,M,31.0,182.0,86.0,Summer,Handball,2.0
176,F,30.0,182.0,73.0,Summer,Rowing,
177,M,22.0,178.0,70.0,Summer,Fencing,
178,M,22.0,185.0,82.0,Summer,Football,3.0
179,M,27.0,166.0,75.0,Summer,Boxing,
180,M,26.0,,,Summer,Judo,
181,M,23.0,,,Summer,Boxing,
182,M,22.0,186.0,83.0,Summer,Water Polo,3.0
183,M,22.0,190.0,77.0,Summer,Football,
184,M,26.0,183.0,75.0,Summer,Tennis,
185,M,22.0,,,Summer,Shooting,
186,M,26.0,165.0,55.0,Summer,Wrestling,2.0
187,M,24.0,181.0,82.0,Summer,Sailing,
188,M,28.0,181.0,82.0,Summer,Sailing,3.0
189,M,32.0,181.0,82.0,Summer,Sailing,
190,M,22.0,182.0,67.0,Summer,Athletics,
191,M,26.0,182.0,67.0,Summer,Athletics,1.0
192,M,29.0,188.0,97.0,Summer,Wrestling,
193,F,25.0,168.0,105.0,Summer,Athletics,
194,M,21.0,,,Summer,Rowing,
195,F,21.0,163.0,60.0,Summer,Cycling,2.0
196,F,21.0,163.0,60.0,Summer,Cycling,
197,M,27.0,190.0,80.0,Summer,Athletics,
198,M,21.0,180.0,73.0,Summer,Football,
199,M,34.0,190.0,85.0,Summer,Handball,
200,M,38.0,190.0,85.0,Summer,Handball,3.0
201,M,38.0,,,Summer,Shooting,
202,F,35.0,155.0,43.0,Summer,Athletics,
203,M,18.0,168.0,60.0,Summer,Athletics,
204,M,16.0,180.0,70.0,Summer,Athletics,
205,M,30.0,169.0,75.0,Summer,Fencing,
206,M,30.0,169.0,75.0,Summer,Fencing,
207,M,30.0,169.0,75.0,Summer,Fencing,
208,M,30.0,181.0,79.0,Summer,Fencing,2.0
209,M,22.0,,,Summer,Swimming,
210,M,22.0,,,Summer,Swimming,1.0
211,M,25.0,170.0,51.0,Summer,Boxing,
212,M,,,,Summer,Football,
213,M,,,,Summer,Football,
214,M,25.0,,,Summer,Modern Pentathlon,1.0
215,M,26.0,,,Summer,Athletics,
216,M,19.0,175.0,75.0,Summer,Boxing,
217,M,23.0,175.0,75.0,Summer,Boxing,
218,M,22.0,188.0,96.0,Summer,Rowing,3.0
219,M,29.0,188.0,96.0,Summer,Rowing,3.0
220,M,34.0,188.0,96.0,Summer,Rowing,3.0
221,M,22.0,182.0,90.0,Summer,Rowing,3.0
222,M,26.0,182.0,90.0,Summer,Rowing,3.0
223,M,30.0,182.0,90.0,Summer,Rowing,2.0
224,M,34.0,182.0,90.0,Summer,Rowing,
225,M,20.0,187.0,97.0,Summer,Rowing,
226,M,25.0,187.0,97.0,Summer,Rowing,3.0
227,M,29.0,187.0,97.0,Summer,Rowing,3.0
228,M,33.0,187.0,97.0,Summer,Rowing,2.0
229,M,23.0,176.0,64.0,Summer,Athletics,
230,M,23.0,176.0,64.0,Summer,Athletics,
231,M,27.0,176.0,64.0,Summer,Athletics,
232,M,20.0,175.0,66.0,Summer,Athletics,
233,M,22.0,190.0,88.0,Summer,Athletics,
234,M,21.0,169.0,67.0,Summer,Weightlifting,
235,M,22.0,175.0,80.0,Summer,Football,
236,M,20.0,160.0,65.0,Summer,Athletics,
237,M,24.0,181.0,74.0,Summer,Athletics,
238,M,28.0,,60.0,Summer,Weightlifting,
239,M,32.0,,60.0,Summer,Weightlifting,
240,M,22.0,178.0,78.0,Summer,Athletics,
241,M,22.0,178.0,78.0,Summer,Athletics,
242,M,22.0,165.0,65.0,Summer,Cycling,
243,M,19.0,,,Summer,Diving,
244,M,26.0,170.0,70.0,Summer,Swimming,
245,M,23.0,168.0,55.0,Winter,Alpine Skiing,
246,M,28.0,173.0,77.0,Summer,Weightlifting,
247,M,25.0,178.0,80.0,Summer,Hockey,
248,M,29.0,178.0,80.0,Summer,Hockey,
249,M,37.0,178.0,80.0,Summer,Hockey,
250,M,31.0,,,Summer,Basketball,
251,M,28.0,170.0,62.0,Summer,Hockey,
252,F,20.0,164.0,58.0,Winter,Alpine Skiing,
253,M,20.0,165.0,60.0,Summer,Hockey,
254,M,24.0,165.0,60.0,Summer,Hockey,
255,M,28.0,165.0,60.0,Summer,Hockey,
256,F,28.0,173.0,60.0,Summer,Rowing,
257,M,22.0,181.0,74.0,Summer,Athletics,
258,M,18.0,182.0,76.0,Summer,Swimming,
259,F,33.0,159.0,53.0,Summer,Weightlifting,
260,F,28.0,171.0,64.0,Summer,Water Polo,
261,M,,,,Summer,Gymnastics,
262,M,23.0,192.0,90.0,Summer,Football,
263,F,23.0,178.0,72.0,Summer,Handball,
264,M,29.0,195.0,85.0,Summer,Basketball,
265,M,15.0,175.0,64.0,Winter,Figure Skating,
266,M,19.0,175.0,64.0,Winter,Figure Skating,
267,M,24.0,180.0,104.0,Summer,Weightlifting,
268,M,,,,Summer,Football,1.0
269,M,42.0,172.0,80.0,Summer,Sailing,
270,M,46.0,172.0,80.0,Summer,Sailing,
271,F,30.0,167.0,58.0,Summer,Equestrianism,
272,F,30.0,167.0,58.0,Summer,Equestrianism,
273,M,26.0,183.0,75.0,Summer,Athletics,
274,M,21.0,184.0,87.0,Summer,Hockey,1.0
275,M,23.0,179.0,80.0,Summer,Hockey,
276,M,24.0,175.0,70.0,Winter,Figure Skating,
277,M,28.0,175.0,70.0,Winter,Figure Skating,
278,M,28.0,175.0,70.0,Winter,Figure Skating,1.0
279,M,19.0,179.0,71.0,Summer,Canoeing,
280,F,41.0,160.0,57.0,Summer,Sailing,
281,F,21.0,164.0,63.0,Summer,Sailing,
282,F,30.0,163.0,52.0,Summer,Cycling,
283,F,23.0,,,Summer,Golf,3.0
284,F,42.0,,,Summer,Golf,
285,M,34.0,185.0,91.0,Summer,Sailing,
286,F,23.0,191.0,88.0,Summer,Softball,2.0
287,F,40.0,165.0,57.0,Summer,Archery,
288,M,22.0,185.0,98.0,Summer,Wrestling,
289,M,26.0,185.0,98.0,Summer,Wrestling,
290,M,34.0,185.0,98.0,Summer,Wrestling,
291,M,23.0,195.0,94.0,Summer,Volleyball,
292,M,22.0,192.0,83.0,Summer,Handball,
293,M,26.0,192.0,83.0,Summer,Handball,
294,F,21.0,,,Summer,Taekwondo,
295,F,15.0,167.0,60.0,Summer,Synchronized Swimming,
296,F,15.0,167.0,60.0,Summer,Synchronized Swimming,
297,F,19.0,167.0,60.0,Summer,Synchronized Swimming,
298,M,25.0,163.0,57.0,Summer,Athletics,
299,M,28.0,203.0,97.0,Summer,Volleyball,
300,M,25.0,,,Summer,Handball,
301,M,29.0,,,Summer,Handball,
302,M,,,,Summer,Gymnastics,
303,M,,,,Summer,Gymnastics,
304,M,,,,Summer,Gymnastics,
305,M,,,,Summer,Gymnastics,
306,M,,,,Summer,Gymnastics,
307,M,,,,Summer,Gymnastics,
308,M,,,,Summer,Gymnastics,
309,M,,,,Summer,Gymnastics,
310,M,22.0,,,Summer,Fencing,
311,F,20.0,175.0,56.0,Summer,Taekwondo,2.0
312,M,21.0,168.0,57.0,Summer,Athletics,
313,M,29.0,168.0,57.0,Summer,Athletics,
314,M,,,,Summer,Athletics,
315,M,23.0,169.0,68.0,Summer,Athletics,
316,F,19.0,158.0,49.0,Summer,Athletics,
317,F,18.0,172.0,61.0,Summer,Diving,
318,M,25.0,174.0,70.0,Summer,Volleyball,
319,M,32.0,168.0,68.0,Summer,Shooting,
320,M,,170.0,69.0,Summer,Football,
321,M,19.0,,,Summer,Football,
322,M,31.0,,,Summer,Athletics,
323,M,,,,Summer,Athletics,
324,M,23.0,174.0,69.0,Summer,Cycling,
325,M,23.0,180.0,56.0,Summer,Boxing,
326,M,32.0,180.0,56.0,Summer,Boxing,
327,M,,176.0,73.0,Summer,Athletics,
328,M,,176.0,73.0,Summer,Athletics,
329,F,18.0,154.0,48.0,Summer,Synchronized Swimming,
330,F,22.0,154.0,48.0,Summer,Synchronized Swimming,
331,F,18.0,153.0,46.0,Summer,Synchronized Swimming,
332,M,29.0,,,Summer,Hockey,
333,M,,,,Summer,Rowing,
334,M,30.0,186.0,100.0,Summer,Water Polo,
335,M,31.0,,,Summer,Fencing,
336,M,31.0,,,Summer,Fencing,
337,M,31.0,,,Summer,Fencing,
338,M,35.0,,,Summer,Fencing,
339,M,35.0,,,Summer,Fencing,
340,M,,,,Summer,Water Polo,
341,M,32.0,152.0,52.0,Summer,Weightlifting,
342,M,24.0,193.0,82.0,Summer,Volleyball,
343,M,,162.0,57.0,Summer,Boxing,
344,M,,,,Summer,Wrestling,
345,M,20.0,,,Summer,Football,
346,M,25.0,189.0,85.0,Summer,Basketball,
347,M,21.0,,,Summer,Water Polo,
348,M,21.0,,,Summer,Swimming,
349,M,21.0,,,Summer,Swimming,
350,M,25.0,,,Summer,Water Polo,
351,M,25.0,,,Summer,Swimming,
352,M,33.0,,,Summer,Water Polo,
353,M,,176.0,67.0,Summer,Athletics,
354,M,24.0,,81.0,Summer,Weightlifting,
355,M,32.0,,81.0,Summer,Weightlifting,
356,M,24.0,183.0,76.0,Summer,Handball,
357,M,28.0,172.0,68.0,Summer,Wrestling,
358,M,29.0,,,Summer,Handball,
359,M,23.0,178.0,67.0,Summer,Basketball,
360,M,27.0,178.0,67.0,Summer,Basketball,
361,M,24.0,,,Summer,Handball,
362,M,25.0,188.0,92.0,Summer,Water Polo,
363,M,19.0,198.0,80.0,Summer,Basketball,
364,M,23.0,198.0,80.0,Summer,Basketball,
365,M,23.0,197.0,87.0,Summer,Volleyball,
366,M,31.0,197.0,87.0,Summer,Volleyball,
367,M,21.0,176.0,74.0,Summer,Athletics,
368,M,24.0,,,Summer,Rowing,
369,M,18.0,,,Summer,Water Polo,
370,M,22.0,,,Summer,Water Polo,
371,M,21.0,,,Summer,Fencing,
372,M,33.0,,,Summer,Fencing,
373,M,33.0,,,Summer,Fencing,
374,M,37.0,,,Summer,Fencing,
375,M,37.0,,,Summer,Fencing,
376,M,37.0,,,Summer,Fencing,
377,M,37.0,,,Summer,Fencing,
378,M,20.0,,,Summer,Boxing,
379,M,,,,Summer,Water Polo,
380,M,27.0,188.0,79.0,Summer,Volleyball,
381,M,16.0,,,Summer,Fencing,
382,M,21.0,,,Summer,Fencing,
383,M,21.0,,,Summer,Fencing,
384,M,30.0,180.0,120.0,Summer,Wrestling,
385,M,28.0,170.0,60.0,Summer,Shooting,
386,M,36.0,170.0,60.0,Summer,Shooting,
387,M,36.0,170.0,60.0,Summer,Shooting,
388,M,21.0,,,Summer,Football,
389,M,21.0,190.0,83.0,Summer,Fencing,
390,M,26.0,190.0,95.0,Summer,Rowing,
391,M,22.0,165.0,48.0,Summer,Boxing,
392,M,27.0,195.0,95.0,Summer,Boxing,
393,M,28.0,,,Summer,Rowing,
394,M,,,,Summer,Rowing,
395,M,24.0,,,Summer,Handball,
396,M,22.0,157.0,48.0,Summer,Boxing,
397,M,19.0,,,Summer,Gymnastics,
398,M,19.0,,,Summer,Gymnastics,
399,M,19.0,,,Summer,Gymnastics,
400,M,19.0,,,Summer,Gymnastics,
401,M,19.0,,,Summer,Gymnastics,
402,M,19.0,,,Summer,Gymnastics,
403,M,19.0,,,Summer,Gymnastics,
404,M,19.0,,,Summer,Gymnastics,
405,M,,,,Summer,Wrestling,
406,F,23.0,165.0,57.0,Summer,Shooting,
407,F,27.0,165.0,57.0,Summer,Shooting,
408,F,35.0,165.0,57.0,Summer,Shooting,
409,M,,,,Summer,Football,
410,M,27.0,188.0,89.0,Summer,Volleyball,
411,M,24.0,176.0,60.0,Summer,Boxing,
412,M,26.0,175.0,81.0,Summer,Judo,
413,M,,,,Summer,Gymnastics,
414,M,,,,Summer,Gymnastics,
415,M,,,,Summer,Gymnastics,
416,M,,,,Summer,Gymnastics,
417,M,,,,Summer,Gymnastics,
418,M,,,,Summer,Gymnastics,
419,M,,,,Summer,Gymnastics,
420,M,,,,Summer,Gymnastics,
421,M,41.0,,,Summer,Shooting,
422,M,24.0,173.0,77.0,Summer,Weightlifting,
423,M,28.0,173.0,77.0,Summer,Weightlifting,
424,F,17.0,159.0,51.0,Summer,Synchronized Swimming,
425,M,21.0,170.0,58.0,Summer,Athletics,
426,M,25.0,,,Summer,Football,
427,M,21.0,170.0,94.0,Summer,Weightlifting,
428,M,25.0,170.0,94.0,Summer,Weightlifting,
429,M,20.0,,,Summer,Athletics,
430,M,36.0,170.0,70.0,Summer,Shooting,
431,M,40.0,170.0,70.0,Summer,Shooting,
432,M,23.0,184.0,68.0,Summer,Football,
433,F,19.0,160.0,46.0,Summer,Synchronized Swimming,
434,M,23.0,170.0,60.0,Summer,Wrestling,
435,M,20.0,165.0,60.0,Summer,Judo,
436,M,23.0,194.0,96.0,Summer,Athletics,
437,M,22.0,167.0,63.0,Summer,Gymnastics,
438,M,22.0,167.0,63.0,Summer,Gymnastics,
439,M,22.0,167.0,63.0,Summer,Gymnastics,
440,M,22.0,167.0,63.0,Summer,Gymnastics,
441,M,22.0,167.0,63.0,Summer,Gymnastics,
442,M,21.0,,,Summer,Handball,
443,M,26.0,207.0,90.0,Summer,Volleyball,
444,M,24.0,170.0,63.0,Summer,Athletics,
445,M,19.0,170.0,63.0,Summer,Athletics,
446,M,23.0,170.0,63.0,Summer,Athletics,
447,F,22.0,173.0,60.0,Summer,Volleyball,
448,F,26.0,173.0,60.0,Summer,Volleyball,
449,M,22.0,170.0,80.0,Summer,Wrestling,
450,M,26.0,170.0,80.0,Summer,Wrestling,1.0
451,M,27.0,176.0,56.0,Summer,Athletics,
452,M,27.0,176.0,56.0,Summer,Athletics,
453,M,30.0,178.0,66.0,Summer,Athletics,
454,M,34.0,178.0,66.0,Summer,Athletics,
455,M,19.0,177.0,65.0,Summer,Athletics,
456,M,23.0,177.0,65.0,Summer,Athletics,
457,M,21.0,170.0,57.0,Summer,Athletics,
458,M,25.0,170.0,57.0,Summer,Athletics,
459,M,21.0,,,Summer,Fencing,
460,M,21.0,,,Summer,Fencing,
461,M,29.0,,,Summer,Fencing,
462,M,29.0,,,Summer,Fencing,
463,M,29.0,,,Summer,Fencing,
464,M,29.0,,,Summer,Fencing,
465,M,41.0,,,Summer,Fencing,
466,M,23.0,178.0,61.0,Summer,Athletics,
467,M,27.0,178.0,61.0,Summer,Athletics,
468,M,31.0,178.0,61.0,Summer,Athletics,
469,M,35.0,178.0,61.0,Summer,Athletics,
470,M,19.0,169.0,74.0,Summer,Wrestling,
471,M,23.0,169.0,74.0,Summer,Wrestling,
472,M,27.0,169.0,74.0,Summer,Wrestling,
473,M,17.0,,,Summer,Swimming,
474,F,21.0,173.0,59.0,Summer,Swimming,
475,F,21.0,173.0,59.0,Summer,Swimming,
476,F,21.0,173.0,59.0,Summer,Swimming,1.0
477,M,,,,Summer,Football,
478,M,24.0,183.0,75.0,Summer,Football,
479,M,26.0,176.0,60.0,Summer,Boxing,
480,M,23.0,185.0,67.0,Summer,Athletics,
481,M,29.0,175.0,85.0,Summer,Wrestling,
482,M,31.0,,,Summer,Football,
483,M,22.0,165.0,60.0,Summer,Modern Pentathlon,
484,M,19.0,180.0,76.0,Summer,Modern Pentathlon,
485,M,19.0,180.0,76.0,Summer,Modern Pentathlon,
486,M,23.0,180.0,76.0,Summer,Modern Pentathlon,
487,M,23.0,180.0,76.0,Summer,Modern Pentathlon,
488,M,25.0,,71.0,Summer,Athletics,
489,F,27.0,180.0,67.0,Summer,Volleyball,
490,M,23.0,188.0,78.0,Summer,Basketball,
491,M,27.0,,,Summer,Boxing,
492,M,30.0,165.0,60.0,Summer,Boxing,
493,F,17.0,147.0,50.0,Summer,Athletics,
494,M,24.0,184.0,70.0,Summer,Athletics,
495,M,22.0,180.0,73.0,Summer,Football,
496,M,24.0,163.0,61.0,Summer,Hockey,
497,M,28.0,163.0,61.0,Summer,Hockey,
498,F,19.0,160.0,53.0,Summer,Table Tennis,
499,F,19.0,160.0,53.0,Summer,Table Tennis,
500,F,27.0,160.0,53.0,Summer,Table Tennis,
501,M,25.0,,,Summer,Hockey,
502,M,23.0,172.0,90.0,Summer,Shooting,
503,M,27.0,172.0,90.0,Summer,Shooting,
504,M,19.0,175.0,55.0,Summer,Swimming,
505,M,,,,Summer,Athletics,
506,M,,,,Summer,Athletics,
507,M,30.0,180.0,117.5,Summer,Weightlifting,
508,M,34.0,180.0,117.5,Summer,Weightlifting,
509,M,22.0,169.0,65.0,Summer,Football,
510,M,27.0,,,Summer,Football,
511,M,,,82.0,Summer,Weightlifting,
512,M,23.0,169.0,60.0,Summer,Athletics,
513,M,23.0,169.0,60.0,Summer,Athletics,
514,M,20.0,156.0,59.0,Summer,Boxing,
515,M,17.0,176.0,68.0,Summer,Athletics,
516,M,17.0,168.0,54.0,Summer,Athletics,
517,F,14.0,,,Summer,Swimming,
518,M,26.0,172.0,70.0,Summer,Football,
519,M,34.0,178.0,74.0,Summer,Water Polo,
520,M,30.0,175.0,80.0,Summer,Shooting,
521,M,,175.0,85.0,Summer,Shooting,
522,M,29.0,174.0,55.0,Summer,Cycling,
523,M,24.0,173.0,64.0,Summer,Athletics,
524,M,38.0,169.0,91.0,Summer,Hockey,3.0
525,M,23.0,181.0,72.0,Summer,Hockey,2.0
526,F,22.0,163.0,56.0,Summer,Athletics,
527,F,26.0,163.0,56.0,Summer,Athletics,
528,M,,178.0,70.0,Summer,Athletics,
529,M,,178.0,70.0,Summer,Athletics,
530,M,,177.0,68.0,Summer,Athletics,
531,M,,,,Summer,Hockey,
532,M,,160.0,52.0,Summer,Wrestling,
533,M,21.0,,,Summer,Diving,
534,M,33.0,,,Summer,Diving,
535,M,24.0,180.0,72.0,Summer,Football,
536,M,39.0,,,Summer,Shooting,
537,M,23.0,,,Summer,Athletics,
538,M,21.0,,,Summer,Swimming,
539,M,21.0,,,Summer,Swimming,
540,M,30.0,,,Summer,Hockey,
541,F,32.0,158.0,58.0,Summer,Weightlifting,
542,M,21.0,185.0,80.0,Summer,Football,
543,M,22.0,175.0,75.0,Summer,Football,
544,M,21.0,172.0,66.0,Summer,Athletics,
545,M,21.0,172.0,66.0,Summer,Athletics,
546,M,25.0,172.0,66.0,Summer,Athletics,
547,M,25.0,172.0,66.0,Summer,Athletics,
548,F,22.0,180.0,59.0,Summer,Athletics,
549,F,26.0,166.0,61.0,Summer,Fencing,
550,M,26.0,160.0,62.0,Summer,Wrestling,3.0
551,M,24.0,181.0,73.0,Summer,Swimming,
